BANK	Panel_ID	Panel	Organism 
862	CZA-32	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
863	CZA-33	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
864	CZA-34	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0493	NEW-06	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0494	NEW-07	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0495	NEW-08	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0496	NEW-09	Isolates with New or Novel Antibiotic Resistance	Salmonella Enteritidis
0497	NEW-10	Isolates with New or Novel Antibiotic Resistance	Klebsiella pneumoniae
0500	NEW-13	Isolates with New or Novel Antibiotic Resistance	Enterococcus faecium
0501	IMR-01	Imipenem/relebactam Panel	Enterobacter cloacae
0502	IMR-02	Imipenem/relebactam Panel	Enterobacter cloacae
0503	IMR-03	Imipenem/relebactam Panel	Escherichia coli
0504	IMR-04	Imipenem/relebactam Panel	Klebsiella pneumoniae
0505	IMR-05	Imipenem/relebactam Panel	Klebsiella pneumoniae
0506	IMR-06	Imipenem/relebactam Panel	Klebsiella pneumoniae
0507	IMR-07	Imipenem/relebactam Panel	Klebsiella pneumoniae
0508	IMR-08	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0509	IMR-09	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0510	IMR-10	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0511	IMR-11	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0512	IMR-12	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0513	IMR-13	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0514	IMR-14	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0515	IMR-15	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0516	IMR-16	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0517	IMR-17	Imipenem/relebactam Panel	Serratia marcescens
0518	IMR-18	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0519	IMR-19	Imipenem/relebactam Panel	Morganella morganii
0520	IMR-20	Imipenem/relebactam Panel	Serratia marcescens
0521	IMR-21	Imipenem/relebactam Panel	Serratia marcescens
0522	IMR-22	Imipenem/relebactam Panel	Klebsiella pneumoniae
0523	IMR-23	Imipenem/relebactam Panel	Klebsiella pneumoniae
0524	IMR-24	Imipenem/relebactam Panel	Klebsiella pneumoniae
0525	IMR-25	Imipenem/relebactam Panel	Klebsiella pneumoniae
0526	IMR-26	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0527	IMR-27	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0528	IMR-28	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0529	IMR-29	Imipenem/relebactam Panel	Pseudomonas aeruginosa
0538	NEW-22	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0539	NEW-23	Isolates with New or Novel Antibiotic Resistance	Salmonella Typhimurium
0540	NEW-24	Isolates with New or Novel Antibiotic Resistance	Salmonella Oslo
0581	CAN-33	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0582	CAN-34	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0583	CAN-35	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0584	CAN-36	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0585	CAN-37	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0586	CAN-38	Drug Resistant Candida (species other than C. albicans ) Panel	Candida pelliculosa / Wickerhamomyces anomalus
0587	CAN-39	Drug Resistant Candida (species other than C. albicans ) Panel	Candida pararugosa
0588	CAN-40	Drug Resistant Candida (species other than C. albicans ) Panel	Candida keyfr
0589	CAN-41	Drug Resistant Candida (species other than C. albicans ) Panel	Candida tropicalis
0590	CAN-42	Drug Resistant Candida (species other than C. albicans ) Panel	Candida guilliermondii
